,img_url,model,make,dev_id
0,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-504_0_1.JPG,DC-504,Agfa,0
1,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-733s_0_452.JPG,DC-733s,Agfa,0
2,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-733s_0_453.JPG,DC-733s,Agfa,0
3,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-830i_0_996.JPG,DC-830i,Agfa,0
4,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_DC-830i_0_997.JPG,DC-830i,Agfa,0
5,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_Sensor505-x_0_1620.JPG,Sensor505-x,Agfa,0
6,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_Sensor530s_0_2033.JPG,Sensor530s,Agfa,0
7,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_Sensor530s_0_2034.JPG,Sensor530s,Agfa,0
8,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Agfa_Sensor530s_0_2035.JPG,Sensor530s,Agfa,0
9,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus55_0_2625.JPG,Ixus55,Canon,0
10,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus55_0_2626.JPG,Ixus55,Canon,0
11,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus55_0_2627.JPG,Ixus55,Canon,0
12,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_0_3258.JPG,Ixus70,Canon,0
13,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_0_3259.JPG,Ixus70,Canon,0
14,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_0_3260.JPG,Ixus70,Canon,0
15,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_1_3695.JPG,Ixus70,Canon,1
16,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_1_3696.JPG,Ixus70,Canon,1
17,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_1_3697.JPG,Ixus70,Canon,1
18,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_2_4124.JPG,Ixus70,Canon,2
19,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_2_4125.JPG,Ixus70,Canon,2
20,http://forensics.inf.tu-dresden.de/ddimgdb/images/gallery/Canon_Ixus70_2_4126.JPG,Ixus70,Canon,2
